Origin,Destination,Passengers,Airtime
ORD,TUS,1658,3273
DEN,EUG,1794,2280
BNA,DEN,345,628
BOS,ATL,346,138
SEA,EWR,5723,13380
ORD,JAX,5557,6359
EWR,MIA,23334,23656
HDN,IAD,355,695
ATL,SFO,4718,14753
SFO,ATL,4753,11216
PHX,DEN,19151,9801
STT,ORD,382,1170
ATL,DEN,4760,7362
SMF,SFO,1263,377
SFO,DTW,2442,6464
IND,SFO,2787,7844
BDL,ORD,4289,5275
AUS,ORD,10595,11553
ORD,PBI,1581,2353
AUS,EWR,8931,13300
SYR,ORD,3095,2963
DEN,BNA,421,488
HNL,LAX,15680,26124
DEN,JAC,5869,3777
MSY,SFO,3050,7695
SFO,ONT,2545,1489
EWR,MCO,41124,36082
JAX,ORD,3752,5251
AUS,LAX,442,1109
SNA,ORD,10216,15681
IAD,SAN,9272,19230
DEN,MSN,6318,5287
ORD,BDL,4418,3530
BNA,SFO,5221,16865
RSW,DEN,4792,6690
PHX,IAD,4030,5874
IAH,CLE,3764,4799
ONT,SFO,2725,1738
OMA,DEN,7795,5213
DEN,MCI,7660,4678
ORD,STT,488,1001
RNO,SFO,3270,1313
MSN,DEN,7159,6968
IAH,AUS,22767,5243
DEN,OGG,4780,13407
DEN,ATL,7507,9384
SFO,BNA,5446,13171
IAD,HDN,510,927
DEN,PIT,6616,7923
LGA,ORD,32546,44544
BOI,DEN,7539,4756
DEN,OMA,7976,4011
SFO,RNO,2977,988
ORD,SNA,9675,18906
IAH,LAS,25677,28592
ORD,LGA,31514,32394
SFO,IND,2855,5937
BDL,DEN,4172,7026
DEN,MSY,7486,7221
PIT,DEN,7223,10889
DEN,TUS,5202,4094
GUM,SPN,4530,879
DEN,ICT,2215,1690
ORD,DLH,2769,1747
SAT,ORD,5624,6934
DEN,PSP,8983,8097
LAX,PHX,2158,1430
ORD,PDX,8205,13917
MCO,EWR,39792,32624
DEN,SLC,6856,3545
DEN,BDL,3903,4941
DEN,PDX,13874,13350
DEN,BOI,7789,5413
IAH,SAT,19647,6676
SFO,TPA,3932,7319
EWR,PHX,10259,26263
TUS,ORD,2105,2402
RNO,DEN,8376,5810
TUL,DEN,2511,2868
DEN,RNO,8012,6526
LAS,DEN,20982,11101
DEN,LAS,21332,12948
ORD,RSW,15299,14683
ICT,DEN,2797,2125
IAH,RSW,9871,8681
OGG,DEN,5167,10352
RSW,IAH,10378,10751
EGE,IAD,719,1879
DEN,TUL,2809,2455
IAH,FLL,18148,14341
SLC,DEN,6732,3259
IAD,HNL,750,2449
PSP,DEN,8569,6712
PHX,LAX,2535,1763
DFW,ORD,14626,14285
EWR,HDN,771,1506
SJC,DEN,8906,8433
HDN,EWR,784,1145
IAH,DCA,10644,14576
SPN,GUM,4700,879
HNL,IAD,804,2008
IAH,MSY,27038,9330
EWR,CLE,4941,3959
DEN,DSM,4419,2820
DLH,ORD,3189,1972
ORD,PHL,12117,9856
SAN,IAH,18557,19148
EWR,SEA,5622,16566
SFO,AUS,10676,15277
EWR,MSY,10601,16503
SFO,MCO,10312,15036
MFE,IAH,7072,3572
DSM,DEN,4825,3755
IAH,MFE,6458,3620
LAX,DEN,30236,17486
BZN,DEN,6807,3919
BZN,ORD,7062,9005
DEN,DFW,10363,7361
MSP,DEN,11137,8631
IAH,MCO,27398,19024
DEN,BZN,7346,4367
IAD,EGE,931,2595
MCI,DEN,8798,7018
LAX,IAD,21286,31949
SFO,OGG,14693,32141
IAD,MCO,19213,13156
BWI,DEN,5779,9012
TPA,DEN,10193,13831
SFO,BUR,2784,1209
ORD,BZN,6944,10704
SAN,ORD,15673,21464
DEN,MSP,10915,6964
PDX,ORD,8794,11296
PHX,EWR,10853,19326
IAH,PHX,17955,19668
DEN,DTW,6727,6799
IAH,SNA,12629,21007
SFO,PHX,12278,9971
EWR,SNA,6775,25958
FLL,IAH,17969,17492
DEN,SNA,15071,13507
BUR,SFO,2693,1513
ABQ,DEN,2964,1500
MSY,DEN,7318,8409
ORD,JAC,3166,5009
EWR,BZN,2910,7624
IAD,FLL,7617,7566
PHX,SFO,13253,11835
IAD,LAS,8793,17261
DEN,RDU,7050,8887
DTW,DEN,7064,8944
TUS,DEN,3506,2342
SFO,SNA,12888,6632
PIT,IAH,1448,2355
LAS,EWR,23327,36090
SLC,SFO,1461,1331
DEN,ABQ,3682,1503
SNA,SFO,13360,7219
SFO,CLE,4740,8335
ORD,MSY,10185,10138
DEN,BWI,6094,6635
SNA,IAH,12827,17028
JAC,ORD,3378,4522
RDU,ORD,1597,1675
SFO,FLL,4125,7955
ITO,LAX,1616,4152
LAX,IAH,44818,36378
FLL,ORD,13296,14817
OGG,SFO,14134,26471
CLE,SFO,4549,11231
LAX,KOA,5375,18686
LAX,ITO,1716,5322
ORD,SEA,10530,18803
SFO,PDX,21752,13774
SAN,IAD,9317,14303
SAT,IAH,19888,6646
SFO,LIH,5301,15263
SAN,SFO,21116,12864
FLL,SFO,3752,10079
TPA,SFO,3772,9234
LIH,SFO,5259,12583
TPA,IAD,11585,8699
DEN,FLL,8934,11086
DFW,DEN,9844,7854
SMF,DEN,11085,9356
DCA,ORD,15434,20096
FLL,DEN,9411,13099
SJU,EWR,11203,12687
CVG,ORD,2067,1493
DEN,LGA,20619,28992
EWR,SJU,11109,11242
JAC,EWR,2220,5312
KOA,LAX,6229,14720
DEN,SMF,11858,11008
IAH,ABQ,2433,3081
BIL,DEN,6304,3631
PDX,SFO,21090,14425
DEN,BIL,6278,3676
SMF,IAD,2473,4571
PDX,DEN,13845,11124
LAS,ORD,22341,24362
DEN,ORF,2510,4739
MCO,LAX,7110,14378
ORD,LAS,22955,30263
EGE,IAH,2549,3585
STT,IAD,2591,6224
IAH,EGE,2608,4143
DEN,BOS,15542,20040
SNA,DEN,13402,10981
EWR,JAC,2830,7201
IAD,STT,2897,5640
ORF,DEN,3045,6531
SJU,IAH,8720,15234
BOS,EWR,27535,12314
EGE,EWR,3277,5155
ORD,DCA,14097,13154
EWR,EGE,3289,7164
SFO,SAN,19934,11679
ANC,DEN,3555,7771
EWR,BOS,27864,9467
DCA,SFO,3723,9799
IAH,SJU,8854,13103
DEN,ANC,3777,8856
SFO,DCA,3910,7386
KOA,DEN,4031,9887
LIH,DEN,4065,10060
RSW,CLE,4099,3654
DEN,LIH,4144,12728
DEN,KOA,4170,12576
DEN,CLE,9072,8700
RSW,EWR,16506,17889
CLE,RSW,4305,4008
EWR,HNL,5012,17743
HNL,EWR,5130,14200
CLE,DEN,11024,14335
OGG,ORD,5184,7975
DEN,DCA,5236,4532
DCA,DEN,5480,5942
ORD,OGG,5791,10504
HNL,GUM,5941,12083
GUM,HNL,6721,10616
BOS,LAX,6751,21578
IAH,HNL,7146,13846
SNA,EWR,7334,19370
LAX,BOS,7482,16395
ORD,HNL,7784,14895
HNL,IAH,7842,10867
HNL,ORD,7935,11993
HNL,DEN,8204,9498
DEN,HNL,8538,11924
EWR,SAN,11255,27796
SAN,EWR,11940,21176
SFO,BOS,16767,38378
BOS,SFO,17581,51123
